"country",".key",".index",".value",".model_desc"
"ALL_COUNTRIES","actual",2009-12-01,54513.5,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-02,63352.51,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-03,74037.91,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-04,40732.92,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-05,9803.05,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-06,24613.64,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-07,45083.35,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-08,49517.23,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-09,40616.09,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-10,44442.11,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-11,39659.6,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-12,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-13,22313.09,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-14,73327.66,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-15,50340.24,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-16,52792.25,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-17,31239.47,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-18,42588.09,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-19,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-20,11450.68,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-21,16367.84,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-22,28023.43,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-23,10871.1,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-24,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-25,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-26,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-27,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-28,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-29,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-30,0,"ACTUAL"
"ALL_COUNTRIES","actual",2009-12-31,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-01,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-02,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-03,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-04,13481.25,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-05,19199.29,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-06,8746.18,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-07,73085.74,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-08,30319.05,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-09,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-10,23688.6,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-11,37887.26,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-12,40856.53,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-13,22489.07,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-14,31672.73,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-15,13515.89,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-16,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-17,17578.24,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-18,21451.56,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-19,33352.561,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-20,19140.16,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-21,27391.96,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-22,36814.82,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-23,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-24,16070.24,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-25,23045.6,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-26,47243.84,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-27,28703.6,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-28,19865.67,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-29,28403.981,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-30,0,"ACTUAL"
"ALL_COUNTRIES","actual",2010-01-31,18704.68,"ACTUAL"
"ALL_COUNTRIES","actual",2010-02-01,19831.431,"ACTUAL"
"ALL_COUNTRIES","actual",2010-02-02,21696.7,"ACTUAL"
"ALL_COUNTRIES","actual",2010-02-03,21450.191,"ACTUAL"
"ALL_COUNTRIES","actual",2010-02-04,22676.5,"ACTUAL"
"ALL_COUNTRIES","actual",2010-02-05,21931.04,"ACTUAL"
"ALL_COUNTRIES","actual",2010-02-06,0,"ACTUAL"
